"RelativePath","Classification","Action","Owner","Reason","Size","SHA256"
"DXOS_CODEX_MASTER_HANDOFF.md","Documentation","copy","DX-OS","Master Handoff","42875","1447AE1CE2B0E4302489FEB8ECD5252BD0B251C2FE734F9F37356D066781F0BA"
"docs/audits/BOOTSTRAP-AUDIT-001.md","Documentation","copy","DX-OS","Audit evidence","21759","6A276D655379ADEE2376B63556CD9265E753A9A628A615D73B74B1164D43A585"
"openspec/config.yaml","Specification","copy","DX-OS","OpenSpec state","922","2A791B0CCC50E2C2EBBB3BA28692A4AD0E4B6AB94ED2151375AC404D7056E89A"
"openspec/changes/bootstrap-remediation-001/.openspec.yaml","Specification","copy","DX-OS","OpenSpec state","40","1E29E84341DE33C4849E79CAC1189EDB575E45FB593636616D4FFB1103293BC8"
"openspec/changes/bootstrap-remediation-001/design.md","Specification","copy","DX-OS","OpenSpec state","19543","5EE80C58A7F827AA0B6FAF0BA43D654AD90ED8ED258BAFFA318268E400959DE0"
"openspec/changes/bootstrap-remediation-001/plan.md","Specification","copy","DX-OS","OpenSpec state","28674","7A93D15104D6D6CA739F5FEF099337865C85CBAB4442F9969277CECDD5D4F153"
"openspec/changes/bootstrap-remediation-001/proposal.md","Specification","copy","DX-OS","OpenSpec state","6936","698EDFA06ACB6827AB39B4E4BADDE1F4764422342ED865C9589A46688602D961"
"openspec/changes/bootstrap-remediation-001/research.md","Specification","copy","DX-OS","OpenSpec state","16559","41AC3AD67FF649023405591E15156451D221F99FE42E72D1E39E8816E815A2EE"
"openspec/changes/bootstrap-remediation-001/tasks.md","Specification","copy","DX-OS","OpenSpec state","34181","31187CA0D102CAB1754DDF475F55B6F17ECB848E8693FD0954B3B8B27DC66AB8"
"openspec/changes/bootstrap-remediation-001/specs/agent-governance/spec.md","Specification","copy","DX-OS","OpenSpec state","4789","F61D5FD959996DC22E0EA49B7297118B97A32250C90265F843F35524A39B62DD"
"openspec/changes/bootstrap-remediation-001/specs/engineering-runtime/spec.md","Specification","copy","DX-OS","OpenSpec state","4858","47F8599B0F8711462C8924D2F786DBF69A6A8DEECCE7679FA38D46C80B2DDB18"
"openspec/changes/bootstrap-remediation-001/specs/quality-evidence/spec.md","Specification","copy","DX-OS","OpenSpec state","5573","E7FD5FB58196599A3E053B15950F846427E54EAABC7CD76D93C17BA84EC78879"
"openspec/changes/bootstrap-remediation-001/specs/repository-foundation/spec.md","Specification","copy","DX-OS","OpenSpec state","5365","AFD6A7FBC41D306F29E4C41127B12BADD51E9055D3B8C6A06E90BD300059F2D6"
".agents/rules/00-authority.md","Governance","copy","DX-OS","DX-OS Agent Rules","959","079B92B8ED08B69CFF4D8FADD2CB8697CE18B20C9137D05DB10B3CCA88CCD724"
".agents/rules/10-dotnet-architecture.md","Governance","copy","DX-OS","DX-OS Agent Rules","184","48503AB42057B93B031BD5BE3A62542658B25162C742C003272801925C149931"
".agents/rules/20-testing.md","Governance","copy","DX-OS","DX-OS Agent Rules","269","CBD1ACE71A3883405156DD5FCF1DD39216188683BDC81E09C5817C523666E00D"
".agents/rules/30-security.md","Governance","copy","DX-OS","DX-OS Agent Rules","201","AF14774663FD55B092F77DD8E5654E06496CE06FEB66143890FF34DB5E589816"
".agents/rules/40-database.md","Governance","copy","DX-OS","DX-OS Agent Rules","101","CE132388557AE6CCB0F93DAC51182F262685F7D17C01703945183653298074DF"
".agents/rules/50-ai-governance.md","Governance","copy","DX-OS","DX-OS Agent Rules","302","567D3C99B9F835B5616428D653B600E0333D68AC2ACE4491DE31CDF2E932437B"
